timestamp,price,return,price_lag_1,price_lag_2,price_lag_3,sma_5,sma_10,ema_5,ema_10,volatility_7,volatility_14
2025-11-24 21:01:44.944,89111.75024576523,0.0085439802332927,88356.83122629141,88599.03241522705,88428.17629657475,88343.07702166794,87282.84372688305,88304.7645830417,87722.03137443363,0.006013045616769169,0.005972352746420838
2025-11-24 22:01:50.553,88749.78735098541,-0.004061898613612,89111.75024576523,88356.83122629141,88599.03241522705,88649.11550696878,87530.99312533313,88453.1055056896,87908.89609744304,0.006591441765403989,0.006169919412673894
2025-11-24 23:01:02.805,88631.71085966966,-0.0013304425265694,88749.78735098541,89111.75024576523,88356.83122629141,88689.82241958776,87798.45880282717,88512.64062368296,88040.31696330242,0.006913131836701757,0.006059836886229476
2025-11-25 00:01:27.963,88229.35740719768,-0.0045396105814659,88631.71085966966,88749.78735098541,89111.75024576523,88615.8874179819,87994.42797839378,88418.21288485454,88074.68795310156,0.007019573023130753,0.00550642769858573
2025-11-25 01:01:43.710,88139.41175889166,-0.0010194526056774,88229.35740719768,88631.71085966966,88749.78735098541,88572.40352450192,88189.13799373545,88325.27917620025,88086.45591779066,0.004521267647658833,0.005551542101381678
2025-11-25 02:00:41.477,87829.57652809896,-0.0035152858932194,88139.41175889166,88229.35740719768,88631.71085966966,88315.96878096866,88329.5229013183,88160.04496016649,88039.75057421034,0.004510017571238683,0.0057089125127891835
2025-11-25 03:00:16.508,87759.23926010152,-0.000800838063644,87829.57652809896,88139.41175889166,88229.35740719768,88117.8591627919,88383.48733488032,88026.44306014484,87988.74851709965,0.004461998920446432,0.005571028540422978
2025-11-25 04:01:47.150,87710.53378537255,-0.0005549897097969,87759.23926010152,87829.57652809896,88139.41175889166,87933.62374793246,88311.72308376011,87921.13996855408,87938.16402042199,0.0017057966547924307,0.005559841068417619
2025-11-25 05:01:25.635,88416.26556192817,0.0080461461821967,87710.53378537255,87759.23926010152,87829.57652809896,87971.00537887856,88293.44639843023,88086.18183301212,88025.09157342311,0.004072129647433125,0.00580880511259686
2025-11-25 06:01:12.025,88100.74473486726,-0.003568583507295,88416.26556192817,87710.53378537255,87759.23926010152,87963.2719740737,88267.8377492878,88091.0361336305,88038.84669368567,0.004230194035999108,0.005976202531515907
2025-11-25 07:02:27.622,87851.67691247856,-0.0028270796477174,88100.74473486726,88416.26556192817,87710.53378537255,87967.6920509496,88141.83041595915,88011.24972657987,88004.81582437528,0.004025857677953619,0.005622524450844514
2025-11-25 08:01:01.499,87385.4867712119,-0.0053065593924985,87851.67691247856,88100.74473486726,88416.26556192817,87892.9415531717,88005.4003579818,87802.66207479055,87892.21054198194,0.004407308920560166,0.004307575227832743
2025-11-25 09:02:32.264,87126.88420569089,-0.0029593308348566,87385.4867712119,87851.67691247856,88100.74473486726,87776.21163723536,87854.91769258391,87577.40278509067,87753.06029901994,0.0043638090397386566,0.004263729479575771
2025-11-25 10:02:51.850,87035.34816069364,-0.0010506062030308,87126.88420569089,87385.4867712119,87851.67691247856,87500.02815698847,87735.51676793351,87396.71791029166,87622.5671829606,0.004361606162847258,0.00424045013502845
2025-11-25 11:03:54.730,87349.3248932984,0.0036074622465467,87035.34816069364,87126.88420569089,87385.4867712119,87349.74418867468,87656.5080813742,87380.92023796058,87572.88676665837,0.00472844733425799,0.0035245600263646296
2025-11-25 12:01:47.714,87368.70154934759,0.0002218294883544,87349.3248932984,87035.34816069364,87126.88420569089,87253.1491160485,87610.42058349904,87376.84734175626,87535.76218169276,0.002933693693212345,0.003462976669683299
2025-11-25 13:00:52.534,87488.65596440769,0.0013729678126479,87368.70154934759,87349.3248932984,87035.34816069364,87273.78295468763,87583.36225392968,87414.11688264008,87527.19741491365,0.0030021734370293015,0.003524805999111319
2025-11-25 14:01:53.066,86898.36528137974,-0.0067470539639801,87488.65596440769,87368.70154934759,87349.3248932984,87228.0791698254,87502.14540353038,87242.19968221997,87412.86429972565,0.003688704269402769,0.0037418205340501816
2025-11-25 15:02:12.298,86396.68263644705,-0.0057732115363531,86898.36528137974,87488.65596440769,87368.70154934759,87100.3460649761,87300.18711098227,86960.36066696234,87228.10399731137,0.0037711712981495084,0.003946146421231648
2025-11-25 16:00:42.786,86910.96082919533,0.0059525224470984,86396.68263644705,86898.36528137974,87488.65596440769,87012.67325215548,87181.20872041507,86943.89405437335,87170.44160310844,0.0046458424288366735,0.0043497510731228956
2025-11-25 17:01:39.085,87078.39643422313,0.0019265188582697,86910.96082919533,86396.68263644705,86898.36528137974,86954.6122291306,87103.88067258954,86988.72818098994,87153.70611785656,0.004706374648955724,0.004407600911515562
2025-11-25 18:07:55.357,87515.4235640805,0.0050187778800852,87078.39643422313,86910.96082919533,86396.68263644705,86959.96574906514,87116.8743518764,87164.2933086868,87219.47292626092,0.004908552893203936,0.004651803773574528
